track_name,track_id,track_uri,artist_name,album_name,album_uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,popularity,release_date
Dos Oruguitas,5rohUzwEoRsUvAA1Bf3DLo,spotify:track:5rohUzwEoRsUvAA1Bf3DLo,Sebastian Yatra,Encanto (Original Motion Picture Soundtrack),spotify:album:25L8ck3KGcmCo3901ztPzR,0.423,0.355,0,-10.565,1,0.0454,0.761,0.0,0.0915,0.465,93.788,spotify:track:5rohUzwEoRsUvAA1Bf3DLo,214613,4,62,2021-11
Nobody Like U,4bV5sf2B4hWBBd5HQ8S7KB,spotify:track:4bV5sf2B4hWBBd5HQ8S7KB,4*TOWN (From Disney and Pixar’s Turning Red),Turning Red (Original Motion Picture Soundtrack),spotify:album:6z1EZ0KfoiVW0bXIbOWAu3,0.905,0.631,9,-10.06,0,0.177,0.129,0.0,0.101,0.751,105.026,spotify:track:4bV5sf2B4hWBBd5HQ8S7KB,160946,4,63,2022-03
Hakuna Matata,5k3U0OGYBccHdKJJu3HrUN,spotify:track:5k3U0OGYBccHdKJJu3HrUN,Nathan Lane,The Lion King,spotify:album:3YA5DdB3wSz4pdfEXoMyRd,0.408,0.312,0,-18.09,1,0.135,0.617,1.19e-05,0.115,0.726,170.042,spotify:track:5k3U0OGYBccHdKJJu3HrUN,213600,4,68,1994-01
"Love Is an Open Door - From ""Frozen""/Soundtrack Version",3IPnBzGRMg6BfViFxxa0Gq,spotify:track:3IPnBzGRMg6BfViFxxa0Gq,Kristen Bell,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),spotify:album:7lZs5r4oQV2nutddffLrg0,0.737,0.636,6,-6.308,0,0.0737,0.262,0.0,0.319,0.537,100.033,spotify:track:3IPnBzGRMg6BfViFxxa0Gq,124733,4,68,2013-01
You'll Be In My Heart,4Y8vb1uy9IjM2V1hqvrAid,spotify:track:4Y8vb1uy9IjM2V1hqvrAid,Phil Collins,Tarzan (Original Motion Picture Soundtrack),spotify:album:1zszC1x9HYKxUCKVa62p7C,0.568,0.748,8,-6.538,1,0.0299,0.0627,2.13e-06,0.0947,0.647,96.588,spotify:track:4Y8vb1uy9IjM2V1hqvrAid,256733,4,65,1999-05
Un Poco Loco,0OFknyqxmSQ42SoKxWVTok,spotify:track:0OFknyqxmSQ42SoKxWVTok,Anthony Gonzalez,Coco (Original Motion Picture Soundtrack),spotify:album:7nMexBA71PdwPnfqS5Yji5,0.62,0.497,7,-7.509,1,0.133,0.597,1.36e-05,0.322,0.636,126.021,spotify:track:0OFknyqxmSQ42SoKxWVTok,112205,4,66,2017-11
Under the Sea,6oYkwjI1TKP9D0Y9II1GT7,spotify:track:6oYkwjI1TKP9D0Y9II1GT7,Samuel E. Wright,The Little Mermaid Special Edition,spotify:album:4aAwvCRNJIqiUGVEjieWv6,0.727,0.474,10,-14.667,1,0.138,0.705,0.0,0.105,0.828,99.966,spotify:track:6oYkwjI1TKP9D0Y9II1GT7,195146,4,65,2006-01
"When Will My Life Begin? - From ""Tangled"" / Soundtrack Version",03xWMkKEbeO4SnylA53ipj,spotify:track:03xWMkKEbeO4SnylA53ipj,Mandy Moore,Tangled,spotify:album:1l0aFrH24oPrQSqGtfeFyE,0.674,0.419,4,-7.581,1,0.0317,0.112,0.0,0.0897,0.385,108.066,spotify:track:03xWMkKEbeO4SnylA53ipj,152333,4,67,2010-01
Reflection,2AILbz83cBnrAMAG06rZts,spotify:track:2AILbz83cBnrAMAG06rZts,Lea Salonga,Mulan (Original Soundtrack),spotify:album:3Ohs7Jo6GM6mydUOL0m5aC,0.255,0.174,9,-19.217,1,0.0379,0.805,0.00911,0.335,0.0829,80.707,spotify:track:2AILbz83cBnrAMAG06rZts,146760,4,62,1998-01
I'll Make a Man Out of You,28UMEtwyUUy5u0UWOVHwiI,spotify:track:28UMEtwyUUy5u0UWOVHwiI,Donny Osmond,Mulan (Original Soundtrack),spotify:album:3Ohs7Jo6GM6mydUOL0m5aC,0.672,0.322,7,-17.669,1,0.0339,0.144,2.96e-05,0.074,0.496,113.852,spotify:track:28UMEtwyUUy5u0UWOVHwiI,201680,4,68,1998-01
I Just Can't Wait to Be King,0qxtQ8rf3W1nId3D2r0xH4,spotify:track:0qxtQ8rf3W1nId3D2r0xH4,Jason Weaver,The Lion King,spotify:album:3YA5DdB3wSz4pdfEXoMyRd,0.691,0.531,6,-14.204,1,0.0546,0.323,7.47e-05,0.0958,0.897,98.813,spotify:track:0qxtQ8rf3W1nId3D2r0xH4,170880,4,68,1994-01
Kiss the Girl - Remastered 2014,75VAFZAhvPSw1euEHg1fQU,spotify:track:75VAFZAhvPSw1euEHg1fQU,Samuel E. Wright,Walt Disney Records The Legacy Collection: The Little Mermaid,spotify:album:0G6CKfBpgWYvYyjt3hoBst,0.67,0.235,0,-15.638,1,0.047,0.748,0.0,0.357,0.757,134.932,spotify:track:75VAFZAhvPSw1euEHg1fQU,160880,4,51,2014-12
"I've Got a Dream - From ""Tangled""/Soundtrack Version",0TCt7OFRdD8PQ6vTRQxNgQ,spotify:track:0TCt7OFRdD8PQ6vTRQxNgQ,Mandy Moore,Tangled,spotify:album:1l0aFrH24oPrQSqGtfeFyE,0.601,0.541,1,-7.378,0,0.0919,0.639,0.0,0.169,0.89,134.328,spotify:track:0TCt7OFRdD8PQ6vTRQxNgQ,191413,4,60,2010-01
We Know The Way,6YH2r9NyEJTjlRmKOCvxgJ,spotify:track:6YH2r9NyEJTjlRmKOCvxgJ,Opetaia Foa'i,Moana (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:6pZj4nvx6lV3ulIK3BSjvs,0.689,0.578,9,-8.737,1,0.0368,0.36,0.0,0.11,0.391,98.043,spotify:track:6YH2r9NyEJTjlRmKOCvxgJ,141413,4,65,2016-11
This Is Halloween,01YROQCnF1AQm7SCWJmD2o,spotify:track:01YROQCnF1AQm7SCWJmD2o,The Citizens of Halloween,Nightmare Before Christmas Special Edition,spotify:album:32hXKuDkMnpQaOI67xQj86,0.567,0.508,7,-12.823,1,0.0502,0.767,0.0,0.145,0.647,167.63,spotify:track:01YROQCnF1AQm7SCWJmD2o,196560,4,68,2006-01
Friend Like Me,5f2TWu6R2YYCJtLQ0fP78H,spotify:track:5f2TWu6R2YYCJtLQ0fP78H,Will Smith,Aladdin (Original Motion Picture Soundtrack),spotify:album:4WGcPCflN9FNccSu7tE9iS,0.688,0.732,2,-6.162,1,0.0618,0.0536,0.0,0.145,0.665,97.703,spotify:track:5f2TWu6R2YYCJtLQ0fP78H,155531,4,64,2019-05
"Can You Feel the Love Tonight - End Title/ From ""The Lion King""/Soundtrack Version",6TL9gJE5JibG8QR6n26eCS,spotify:track:6TL9gJE5JibG8QR6n26eCS,Elton John,The Lion King: Special Edition,spotify:album:6BqcXoEgLpiGHQit2hXBIl,0.312,0.276,10,-12.621,1,0.0332,0.865,0.000433,0.112,0.158,123.497,spotify:track:6TL9gJE5JibG8QR6n26eCS,241973,4,50,2003-01
Colors of the Wind,2KLr3dKxIINgnWKiMK37ST,spotify:track:2KLr3dKxIINgnWKiMK37ST,Judy Kuhn,Walt Disney Records The Legacy Collection: Pocahontas,spotify:album:4M9kB42Y2SfXzwuH903ycJ,0.365,0.192,1,-14.006,1,0.0464,0.957,0.000314,0.117,0.156,132.758,spotify:track:2KLr3dKxIINgnWKiMK37ST,230186,5,38,2015-01
Shiny,1IZwCzAmaFmmdJj0cmhaax,spotify:track:1IZwCzAmaFmmdJj0cmhaax,Jemaine Clement,Moana (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:6pZj4nvx6lV3ulIK3BSjvs,0.641,0.68,0,-7.64,1,0.23,0.482,0.0,0.101,0.574,146.116,spotify:track:1IZwCzAmaFmmdJj0cmhaax,185466,4,65,2016-11
Beauty and the Beast - Remastered 2018,4f1BwLXtk02i8GjJvK9cUL,spotify:track:4f1BwLXtk02i8GjJvK9cUL,Angela Lansbury,Walt Disney Records The Legacy Collection: Beauty and the Beast,spotify:album:7hq1LYjKOhg1jn39YzbqVK,0.306,0.107,5,-18.655,0,0.0333,0.779,3.6e-06,0.132,0.181,93.823,spotify:track:4f1BwLXtk02i8GjJvK9cUL,162266,4,37,2018-02
When She Loved Me,6lMh9k54E4mxbGBMkSwYhT,spotify:track:6lMh9k54E4mxbGBMkSwYhT,Sarah McLachlan,Toy Story 2,spotify:album:0MCE2KRV2L5NJYMyQNPKHY,0.368,0.133,5,-14.706,1,0.0399,0.983,0.0,0.0977,0.292,132.038,spotify:track:6lMh9k54E4mxbGBMkSwYhT,185240,3,51,1999-01
Almost There,2GLyruWagsv8o7aGNXboH1,spotify:track:2GLyruWagsv8o7aGNXboH1,Anika Noni Rose,The Princess and the Frog (Original Motion Picture Soundtrack),spotify:album:0CcL28OkH89kjgKpNZC8sW,0.509,0.499,0,-6.485,1,0.0521,0.809,2.22e-05,0.284,0.51,78.914,spotify:track:2GLyruWagsv8o7aGNXboH1,144426,4,56,2009-11
Hawaiian Roller Coaster Ride,7GmiJVBAzWNikX5VkNQg85,spotify:track:7GmiJVBAzWNikX5VkNQg85,Mark Keali'i Ho'omalu,Lilo & Stitch,spotify:album:0tNLpUZfJKyxMS0nKlnyXP,0.702,0.624,5,-9.927,1,0.0285,0.314,0.0152,0.0669,0.947,114.542,spotify:track:7GmiJVBAzWNikX5VkNQg85,208226,4,62,2002-01
A Dream Is a Wish Your Heart Makes,3s6nfqfT6kyLBT10vs0M4l,spotify:track:3s6nfqfT6kyLBT10vs0M4l,Lily James,Cinderella (Original Motion Picture Soundtrack),spotify:album:4MaXQAzgpi1UGNNia9r7fx,0.274,0.0724,4,-18.279,1,0.0395,0.948,1.45e-06,0.0801,0.195,139.381,spotify:track:3s6nfqfT6kyLBT10vs0M4l,120546,5,59,2015-01
Be Our Guest,2F8LPJgSVTJxukoParTyBD,spotify:track:2F8LPJgSVTJxukoParTyBD,Angela Lansbury,Beauty And The Beast (Special Edition),spotify:album:5CXS5K2wldOxL8bweRXBrq,0.436,0.39,2,-13.062,1,0.159,0.814,0.0,0.0885,0.579,90.14,spotify:track:2F8LPJgSVTJxukoParTyBD,224920,4,55,2001-01
Lead the Way,2Vqbniz8jYoZPvecpdVPq9,spotify:track:2Vqbniz8jYoZPvecpdVPq9,Jhené Aiko,Raya and the Last Dragon (Original Motion Picture Soundtrack),spotify:album:3JqX5g07TbeiF0NEK7eYl0,0.546,0.704,4,-5.154,1,0.044,0.477,0.0,0.0892,0.328,101.005,spotify:track:2Vqbniz8jYoZPvecpdVPq9,223835,4,52,2021-02
"Circle of Life - From ""The Lion King"" Soundtrack",2KPMRUOwr8yB32EMvIg8aT,spotify:track:2KPMRUOwr8yB32EMvIg8aT,Carmen Twillie,The Lion King: Special Edition,spotify:album:6BqcXoEgLpiGHQit2hXBIl,0.43,0.498,10,-11.662,1,0.0404,0.0858,0.0,0.256,0.556,83.725,spotify:track:2KPMRUOwr8yB32EMvIg8aT,239360,4,49,2003-01
He Could Be the One,0ObHdZzOdFZo2MfUCpHiyu,spotify:track:0ObHdZzOdFZo2MfUCpHiyu,Hannah Montana,Best Of Hannah Montana,spotify:album:5zZMy9QhbzvAjokurBvEgd,0.604,0.88,4,-4.033,1,0.0317,0.00164,1.29e-06,0.352,0.65,125.982,spotify:track:0ObHdZzOdFZo2MfUCpHiyu,181720,4,38,2011-01
Queen of Mean,4o05DiC0RQ9DNtGJGauwna,spotify:track:4o05DiC0RQ9DNtGJGauwna,Sarah Jeffery,Descendants 3 (Original TV Movie Soundtrack),spotify:album:1rDO59SgTsY1HV5ZBtl9Hy,0.543,0.787,8,-6.52,1,0.241,0.248,0.0,0.0778,0.343,173.702,spotify:track:4o05DiC0RQ9DNtGJGauwna,189397,4,64,2019-08
Strangers Like Me,3T74kgnbHw8JqkYGJKD4Tl,spotify:track:3T74kgnbHw8JqkYGJKD4Tl,Phil Collins,Tarzan (Original Motion Picture Soundtrack),spotify:album:1zszC1x9HYKxUCKVa62p7C,0.679,0.785,3,-7.041,1,0.0391,0.114,0.000933,0.119,0.564,119.792,spotify:track:3T74kgnbHw8JqkYGJKD4Tl,180520,4,54,1999-05
"Once Upon a Dream - From ""Sleeping Beauty"" / Soundtrack Version",2urMIG2y7CsnH206CxykV0,spotify:track:2urMIG2y7CsnH206CxykV0,Mary Costa,Disney's Greatest Volume 1,spotify:album:4xNCqk5KdkOQvdbaepGjTY,0.195,0.237,5,-14.186,1,0.0335,0.974,0.000431,0.111,0.207,85.014,spotify:track:2urMIG2y7CsnH206CxykV0,167013,5,47,2001-01
Rotten to the Core,2bNxCVI4Fub8BAwr0CQDyd,spotify:track:2bNxCVI4Fub8BAwr0CQDyd,Dove Cameron,Descendants (Original TV Movie Soundtrack),spotify:album:6notdj85QIGeqR1zKqT3Oh,0.693,0.808,4,-6.231,0,0.093,0.0506,1.18e-06,0.578,0.547,127.945,spotify:track:2bNxCVI4Fub8BAwr0CQDyd,162066,4,62,2015-01
Go the Distance,0D1OY0M5A0qD5HGBvFmFid,spotify:track:0D1OY0M5A0qD5HGBvFmFid,Roger Bart,Hercules (Original Motion Picture Soundtrack),spotify:album:1wbY6VUchNsZLaDi22eD3J,0.275,0.126,9,-17.077,1,0.033,0.878,0.000872,0.0791,0.211,88.206,spotify:track:0D1OY0M5A0qD5HGBvFmFid,194160,4,63,1997-01
Supercalifragilisticexpialidocious,7fImDWw5bcUhRbZ0w1ny4J,spotify:track:7fImDWw5bcUhRbZ0w1ny4J,Julie Andrews,Mary Poppins (Original Motion Picture Soundtrack),spotify:album:3TpEE2z8atZWn2p7MUHF0U,0.524,0.609,7,-13.03,0,0.401,0.607,0.0,0.126,0.948,80.232,spotify:track:7fImDWw5bcUhRbZ0w1ny4J,123026,4,50,1997-01
We're All In This Together,0cqNGWvuukhCiKvEX7utys,spotify:track:0cqNGWvuukhCiKvEX7utys,High School Musical Cast,High School Musical,spotify:album:4dOvFkIgrb6b9zCcGfCcci,0.76,0.941,1,-6.356,1,0.0688,0.0451,0.0,0.649,0.805,116.013,spotify:track:0cqNGWvuukhCiKvEX7utys,231426,4,62,2006-01
The Bare Necessities,7h5crXBSY5SSpXRIlklv74,spotify:track:7h5crXBSY5SSpXRIlklv74,Phil Harris,The Jungle Book,spotify:album:7zdZNXoapFcOW663zgLdOE,0.788,0.247,0,-18.298,1,0.0653,0.768,0.0,0.198,0.545,102.957,spotify:track:7h5crXBSY5SSpXRIlklv74,291466,4,57,1997-01
If I Didn't Have You,7xf3S6Bv8hDqOtevZou602,spotify:track:7xf3S6Bv8hDqOtevZou602,Billy Crystal,"Monsters, Inc. (Original Motion Picture Soundtrack)",spotify:album:7hguux6E8wOGlNsKnZB6Sz,0.636,0.412,8,-9.815,1,0.0558,0.662,5.96e-05,0.68,0.589,121.699,spotify:track:7xf3S6Bv8hDqOtevZou602,217786,4,54,2001-01
"Touch The Sky - From ""Brave""/Soundtrack",5yyqx4brn6Bm9U1Rj9ENnz,spotify:track:5yyqx4brn6Bm9U1Rj9ENnz,Julie Fowlis,Brave,spotify:album:7vSvdmI0szfMcn7LyVjp0R,0.372,0.641,2,-7.954,1,0.047,0.137,0.0,0.103,0.33,119.013,spotify:track:5yyqx4brn6Bm9U1Rj9ENnz,151400,3,59,2012-01
Gaston,494qL09gtrLyndmhLg4yYX,spotify:track:494qL09gtrLyndmhLg4yYX,Richard White,Beauty And The Beast (Special Edition),spotify:album:5CXS5K2wldOxL8bweRXBrq,0.613,0.578,0,-8.204,1,0.158,0.866,0.0,0.222,0.616,107.12,spotify:track:494qL09gtrLyndmhLg4yYX,220200,1,41,2001-01
Poor Unfortunate Souls,7zsw78LtXUD7JfEwH64HK2,spotify:track:7zsw78LtXUD7JfEwH64HK2,Pat Carroll,The Little Mermaid Special Edition,spotify:album:4aAwvCRNJIqiUGVEjieWv6,0.384,0.18,0,-17.279,1,0.101,0.77,0.0,0.367,0.372,73.598,spotify:track:7zsw78LtXUD7JfEwH64HK2,291693,4,55,2006-01
Just Around the Riverbend,6P316E7tFylzpVrDrXVF9s,spotify:track:6P316E7tFylzpVrDrXVF9s,Judy Kuhn,Pocahontas,spotify:album:7L6kEZVkWh7OEI71b1JHZd,0.307,0.19,0,-16.822,1,0.0423,0.92,1.21e-05,0.183,0.252,94.527,spotify:track:6P316E7tFylzpVrDrXVF9s,147706,4,55,1995-01
Remember Me (Ernesto de la Cruz),4ljlAxfaEjO4Q4g9FMtVj4,spotify:track:4ljlAxfaEjO4Q4g9FMtVj4,Benjamin Bratt,Coco (Original Motion Picture Soundtrack),spotify:album:7nMexBA71PdwPnfqS5Yji5,0.447,0.587,2,-6.634,1,0.0409,0.565,0.000478,0.143,0.608,129.203,spotify:track:4ljlAxfaEjO4Q4g9FMtVj4,109280,4,55,2017-11
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version",6Z0F3Mqj7tq1CBZo5qMlUg,spotify:track:6Z0F3Mqj7tq1CBZo5qMlUg,Hannah Montana,Hannah Montana,spotify:album:0TyDqWrWHzuyFjjnKqDClu,0.676,0.861,1,-3.645,1,0.0501,0.0512,0.0,0.0613,0.681,124.031,spotify:track:6Z0F3Mqj7tq1CBZo5qMlUg,174120,3,60,2006-01
"A Spoonful of Sugar - From ""Mary Poppins"" / Soundtrack Version",29bQPrp6BT0w3kaXTqIo8A,spotify:track:29bQPrp6BT0w3kaXTqIo8A,Julie Andrews,Mary Poppins,spotify:album:4I53uIfFAiQPKjXFNN2k4d,0.48,0.39,5,-14.253,1,0.149,0.743,1.75e-05,0.137,0.642,110.7,spotify:track:29bQPrp6BT0w3kaXTqIo8A,249040,4,52,1997-01
"Winnie the Pooh - From ""Winnie the Pooh and the Honey Tree""",7dAhz8AzHFI4qPiv2zF7Xi,spotify:track:7dAhz8AzHFI4qPiv2zF7Xi,Disney Studio Chorus,Songs and Story: Winnie the Pooh and the Honey Tree,spotify:album:2h7GDf31ar6zI2SkHrQ9TE,0.408,0.149,5,-15.955,1,0.0415,0.852,2.03e-06,0.313,0.459,70.251,spotify:track:7dAhz8AzHFI4qPiv2zF7Xi,138200,3,43,2009-01
"It's a Small World - From ""It's a Small World""",5ouuPi1o6eOVSgHn2exemw,spotify:track:5ouuPi1o6eOVSgHn2exemw,The Disneyland Children's Chorus,Disney's Greatest Volume 2,spotify:album:6KSC0FkAhdErc0azFDze0i,0.679,0.312,7,-14.695,1,0.0393,0.801,0.0,0.09,0.951,119.89,spotify:track:5ouuPi1o6eOVSgHn2exemw,182893,4,44,2001-01
"Mother Knows Best - From ""Tangled""/Soundtrack Version",1lOSxJNCLvWm2bYaTcTSmK,spotify:track:1lOSxJNCLvWm2bYaTcTSmK,Donna Murphy,Tangled,spotify:album:1l0aFrH24oPrQSqGtfeFyE,0.503,0.259,0,-11.371,1,0.1,0.828,1.65e-06,0.0451,0.49,127.838,spotify:track:1lOSxJNCLvWm2bYaTcTSmK,190440,3,59,2010-01
"So This Is Love - From ""Cinderella""",1EwRMgWXS9U8Oet39tlYwY,spotify:track:1EwRMgWXS9U8Oet39tlYwY,Ilene Woods,Disney Princess: The Ultimate Song Collection,spotify:album:1YlALay0y3WHzVz39xU3AJ,0.251,0.145,4,-16.621,1,0.0371,0.898,0.0,0.143,0.197,144.099,spotify:track:1EwRMgWXS9U8Oet39tlYwY,92600,4,52,2004-01
"Baby Mine - From ""Dumbo""/Soundtrack Version",2ufkOFn5LKYNoAdss0GUKR,spotify:track:2ufkOFn5LKYNoAdss0GUKR,Arcade Fire,"Baby Mine (From ""Dumbo"")",spotify:album:6e9I7W5LrZ512paeUY7hS4,0.221,0.355,9,-9.469,1,0.0389,0.681,0.00265,0.067,0.15,68.903,spotify:track:2ufkOFn5LKYNoAdss0GUKR,176466,4,39,2019-03
"That's How You Know - From ""Enchanted""/Soundtrack Version",1OzSfjFW08DTD51XoNnog7,spotify:track:1OzSfjFW08DTD51XoNnog7,Amy Adams,Enchanted,spotify:album:3juYz5KfvUJYunlI3caxIc,0.485,0.667,2,-5.485,1,0.164,0.497,0.0,0.219,0.52,174.025,spotify:track:1OzSfjFW08DTD51XoNnog7,228960,4,55,2007-01
Man Or Muppet,1JyG5yuwpN0VIi4wbqvDfB,spotify:track:1JyG5yuwpN0VIi4wbqvDfB,Jason Segel,The Muppets (Original Motion Picture Soundtrack),spotify:album:0mahHDhPnuYMbo3sXOEW50,0.56,0.404,5,-8.817,1,0.0357,0.21,0.00049,0.197,0.157,145.612,spotify:track:1JyG5yuwpN0VIi4wbqvDfB,177533,4,52,2011-11
Derezzed,7hqlHZIXhwAzpWQxm9KzBd,spotify:track:7hqlHZIXhwAzpWQxm9KzBd,Daft Punk,TRON: Legacy - The Complete Edition (Original Motion Picture Soundtrack),spotify:album:3AMXFnwHWXCvNr5NCCpLZI,0.539,0.617,1,-10.057,1,0.046,0.00109,0.762,0.18,0.0772,119.993,spotify:track:7hqlHZIXhwAzpWQxm9KzBd,104113,4,50,2010-12
Main Title (The Second Star to the Right) / All This Has Happened Before,01sOUDhgCz6cNoghrnO8bG,spotify:track:01sOUDhgCz6cNoghrnO8bG,The Jud Conlon Chorus,Peter Pan (Original Motion Picture Soundtrack),spotify:album:1tCVqfTbVWmXFXx0HmGkob,0.22,0.244,6,-15.065,1,0.0337,0.978,0.000297,0.333,0.302,91.958,spotify:track:01sOUDhgCz6cNoghrnO8bG,138400,3,40,1997-01
I Won't Say (I'm In Love),0PKmDncVOiNQLO6D1P6PXi,spotify:track:0PKmDncVOiNQLO6D1P6PXi,Susan Egan,Hercules (Original Motion Picture Soundtrack),spotify:album:1wbY6VUchNsZLaDi22eD3J,0.684,0.481,0,-10.305,1,0.039,0.228,0.0,0.157,0.481,121.21,spotify:track:0PKmDncVOiNQLO6D1P6PXi,140226,4,65,1997-01
Whistle While You Work,1ai54RVIzu7IKebNbPEwMv,spotify:track:1ai54RVIzu7IKebNbPEwMv,Adriana Caselotti,Snow White and the Seven Dwarfs (Original Motion Picture Soundtrack),spotify:album:5nmf2deiZ5EvAsc02RmzRk,0.459,0.349,7,-11.557,1,0.045,0.799,0.27,0.127,0.805,206.662,spotify:track:1ai54RVIzu7IKebNbPEwMv,203746,4,47,1997-01
"Happy Working Song - From ""Enchanted"" / Soundtrack Version",7G061Oqw7NXFr1NDTpXoI4,spotify:track:7G061Oqw7NXFr1NDTpXoI4,Amy Adams,Enchanted,spotify:album:3juYz5KfvUJYunlI3caxIc,0.508,0.341,2,-10.175,1,0.0814,0.844,0.0,0.325,0.646,172.216,spotify:track:7G061Oqw7NXFr1NDTpXoI4,129613,4,53,2007-01
Dig a Little Deeper,7kh64k3P9Fk4EsA6vOdwmj,spotify:track:7kh64k3P9Fk4EsA6vOdwmj,Jenifer Lewis,The Princess and the Frog (Original Motion Picture Soundtrack),spotify:album:0CcL28OkH89kjgKpNZC8sW,0.719,0.825,0,-4.26,1,0.052,0.39,3.75e-06,0.103,0.798,98.023,spotify:track:7kh64k3P9Fk4EsA6vOdwmj,167933,4,56,2009-11
Heigh-Ho,4OkD0WYpUTu8eJcDDVJERl,spotify:track:4OkD0WYpUTu8eJcDDVJERl,The Dwarf Chorus,Snow White and the Seven Dwarfs (Original Motion Picture Soundtrack),spotify:album:5nmf2deiZ5EvAsc02RmzRk,0.789,0.673,0,-10.508,1,0.047,0.779,0.0281,0.183,0.744,102.661,spotify:track:4OkD0WYpUTu8eJcDDVJERl,166933,4,48,1997-01
Chim Chim Cher-ee,0IKYsgkoaylTKGzrlfrpu7,spotify:track:0IKYsgkoaylTKGzrlfrpu7,Dick Van Dyke,Mary Poppins (Original Motion Picture Soundtrack),spotify:album:3TpEE2z8atZWn2p7MUHF0U,0.372,0.222,5,-17.325,0,0.112,0.843,0.0,0.104,0.392,69.81,spotify:track:0IKYsgkoaylTKGzrlfrpu7,166600,4,41,1997-01
What's This?,3fytQQcjEOWXlvI9BDXVcK,spotify:track:3fytQQcjEOWXlvI9BDXVcK,Danny Elfman,Nightmare Before Christmas Special Edition,spotify:album:32hXKuDkMnpQaOI67xQj86,0.511,0.473,5,-10.907,1,0.0785,0.818,1.44e-05,0.126,0.503,81.628,spotify:track:3fytQQcjEOWXlvI9BDXVcK,185573,3,61,2006-01
"Bibbidi-Bobbidi-Boo - From ""Cinderella"" Soundtrack",50ssiEHx556vul2XyUbxwU,spotify:track:50ssiEHx556vul2XyUbxwU,Verna Felton,Disney's Greatest Volume 1,spotify:album:4xNCqk5KdkOQvdbaepGjTY,0.513,0.525,8,-8.57,1,0.0524,0.949,2.42e-05,0.233,0.887,105.859,spotify:track:50ssiEHx556vul2XyUbxwU,77933,4,53,2001-01
You Can Fly! You Can Fly! You Can Fly!,1HTqoEMp8bRSfPDM7c5xIm,spotify:track:1HTqoEMp8bRSfPDM7c5xIm,Bobby Driscoll,Peter Pan (Original Motion Picture Soundtrack),spotify:album:1tCVqfTbVWmXFXx0HmGkob,0.501,0.337,10,-14.487,1,0.176,0.972,2.94e-06,0.0916,0.512,133.586,spotify:track:1HTqoEMp8bRSfPDM7c5xIm,264280,3,40,1997-01
Arabian Nights (2019),6ZxPYutGhjLTrcmvcshCa4,spotify:track:6ZxPYutGhjLTrcmvcshCa4,Will Smith,Aladdin (Original Motion Picture Soundtrack),spotify:album:4WGcPCflN9FNccSu7tE9iS,0.445,0.532,8,-8.018,1,0.0405,0.254,0.0,0.109,0.465,128.776,spotify:track:6ZxPYutGhjLTrcmvcshCa4,193096,4,62,2019-05
Oo-De-Lally,5Asz9rHr2rViBdl6pkXpoq,spotify:track:5Asz9rHr2rViBdl6pkXpoq,Roger Miller,Walt Disney Records The Legacy Collection: Robin Hood,spotify:album:56ewU1ti6LTUjDQzsI9QZD,0.664,0.172,2,-17.937,0,0.132,0.934,0.0,0.109,0.562,80.587,spotify:track:5Asz9rHr2rViBdl6pkXpoq,59933,3,40,2017-08
He Lives In You (Reprise),67MoDnJtywQsAS6Bovvuon,spotify:track:67MoDnJtywQsAS6Bovvuon,Jason Raize,The Lion King: Original Broadway Cast Recording,spotify:album:1y6p6tINBthUWsQVQJmiYK,0.507,0.341,6,-12.217,0,0.0802,0.787,0.000536,0.152,0.514,118.661,spotify:track:67MoDnJtywQsAS6Bovvuon,252240,4,46,1997-01
Pay Attention / In a World of My Own,4jadyA9N53rvVjy6KjKAgT,spotify:track:4jadyA9N53rvVjy6KjKAgT,Kathryn Beaumont,Alice In Wonderland (Original Motion Picture Soundtrack),spotify:album:1Sfipn1VH7Q0ZSPfXz7oOx,0.343,0.0725,8,-17.5,1,0.0646,0.974,2.61e-05,0.484,0.227,80.957,spotify:track:4jadyA9N53rvVjy6KjKAgT,132640,4,38,1997-01
Tall Paul,7oJujJSTfOKP1Gw95dK3Sy,spotify:track:7oJujJSTfOKP1Gw95dK3Sy,Annette Funicello,Annette,spotify:album:1MFYzmNeW4tyNs8BfJ9JZQ,0.382,0.543,3,-9.582,1,0.0442,0.676,4.94e-05,0.31,0.961,202.42,spotify:track:7oJujJSTfOKP1Gw95dK3Sy,97080,4,29,1960-01
"Grim Grinning Ghosts - From ""The Haunted Mansion""",22HoAbMq2QiKjfc1ZNqy0D,spotify:track:22HoAbMq2QiKjfc1ZNqy0D,The Melomen,Walt Disney Records The Legacy Collection: Disneyland,spotify:album:6Tl4sqA4gMSbqAAs2T0C41,0.416,0.558,5,-12.689,1,0.145,0.742,0.0,0.111,0.336,120.043,spotify:track:22HoAbMq2QiKjfc1ZNqy0D,332400,4,36,2015-01
